Config,Description,Required?,Type,Default Value
UNLEASH_URL,Unleash server URL,Y,String,N/A
UNLEASH_APP_NAME,Name of your program,Y,String,N/A
UNLEASH_ENVIRONMENT,Environment of your service,Y,String,N/A
UNLEASH_INSTANCE_ID,Unique ID for your program,N,String,unleash-client-python
UNLEASH_REFRESH_INTERVAL,How often the unleash client should check for configuration changes.,N,Integer,15
UNLEASH_METRIC_INTERVAL,How often the unleash client should send metrics to server.,N,Integer,60
UNLEASH_DISABLE_METRICS,Disables sending metrics to Unleash server.,N,Boolean,F
UNLEASH_DISABLE_REGISTRATION,Disables registration with Unleash server.,N,Boolean,F
UNLEASH_CUSTOM_HEADERS,Custom headers to send to Unleash.,N,Dictionary,{}
UNLEASH_CUSTOM_OPTIONS,Custom arguments for requests package.,N,Dictionary,{}
UNLEASH_CUSTOM_STRATEGIES,Custom strategies you'd like UnleashClient to support.,N,Dictionary,{}
UNLEASH_CACHE_DIRECTORY,"Location of the cache directory. When unset, FCache will determine the location",N,Str,Unset
